Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad (grupos quinquenales);Tipo de dato;Periodo;Total
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM21;259
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM20;271
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM19;329
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM18;327
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM17;424
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM16;510
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM15;688
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM14;899
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM13;836
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM12;508
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM11;304
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM10;277
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM09;302
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM08;284
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM07;315
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM06;281
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM05;336
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM04;340
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM03;322
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM02;306
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM01;278
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM52;317
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM51;262
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM50;255
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM49;288
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM48;303
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM47;268
